,bidder_id,payment_account,address,outcome,numbids,maxaucbids,avgaucbids,num_country,num_ip,merchandise_auto parts,merchandise_books and music,merchandise_clothing,merchandise_computers,merchandise_furniture,merchandise_home goods,merchandise_jewelry,merchandise_mobile,merchandise_office equipment,merchandise_sporting goods,time_within_minimum,time_within_average,time_between_minimum,time_between_avergae
0,91a3c57b13234af24875c56fb7e2b2f4rb56a,a3d2de7675556553a5f08e4c88d2c228754av,a3d2de7675556553a5f08e4c88d2c228vt0u4,0.0,24.0,3.0,1.33333333333,6,20,0,0,0,0,0,1,0,0,0,0,0.00621052631504,0.380697368421,0.00521052631666,0.578953947368
1,624f258b49e77713fc34034560f93fb3hu3jo,a3d2de7675556553a5f08e4c88d2c228v1sga,ae87054e5a97a8f840a3991d12611fdcrfbq3,0.0,3.0,3.0,3.0,1,3,0,0,0,0,0,0,0,0,1,0,1.98931578947,2.8188245614,1.98931578947,2.8188245614
2,1c5f4fc669099bfbfac515cd26997bd12ruaj,a3d2de7675556553a5f08e4c88d2c2280cybl,92520288b50f03907041887884ba49c0cl0pd,0.0,4.0,1.0,1.0,1,4,0,0,0,0,0,0,0,0,0,1,0.00621052631504,0.00621052631504,1.45084210526,2.57277631579
3,4bee9aba2abda51bf43d639013d6efe12iycd,51d80e233f7b6a7dfdee484a3c120f3b2ita8,4cb9717c8ad7e88a9a284989dd79b98dbevyi,0.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0.00621052631504,0.00621052631504,0.000210526315641,0.000210526315641
4,4ab12bc61c82ddd9c2d65e60555808acqgos1,a3d2de7675556553a5f08e4c88d2c22857ddh,2a96c3ce94b3be921e0296097b88b56a7x1ji,0.0,155.0,38.0,6.73913043478,2,123,0,0,0,0,0,0,0,0,1,0,0.000736842106562,0.587941595925,5.26315780007e-05,0.0775663837012
5,7eaefc97fbf6af12e930528151f86eb91bafh,a3d2de7675556553a5f08e4c88d2c228yory1,5a1d8f28bc31aa6d72bef2d8fbf48b967hra3,0.0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0.00621052631504,0.00621052631504,0.000210526315641,0.000210526315641
6,25558d24bca82beef0f9db4ba1fe2045ynnvq,81580585d4dedd473da11aabf37fe9d4e2s2n,9a6d81115b9b653ba326eb510e9163b47drqj,0.0,8.0,1.0,1.0,1,3,0,0,0,0,0,0,0,1,0,0,0.00621052631504,0.00621052631504,0.00373684210717,1.401
7,88ae7a35e374a6fddd079ebb28c822eeohwse,a3d2de7675556553a5f08e4c88d2c2289zref,3a7e6a32b24aeab0688e91a41f3188e22iuec,0.0,34.0,6.0,3.4,3,32,0,0,0,0,0,1,0,0,0,0,0.000736842102924,0.343431888545,0.000210526315641,0.199848297214
8,57db69e32163f3e486dc6ef7d615aa12usje6,bf1c3151cc309308077ad0ccb99779ad12apw,31b95425d178b89fd7306762bb48bfb5n04sj,0.0,2.0,1.0,1.0,1,2,0,0,0,0,0,0,1,0,0,0,0.00621052631504,0.00621052631504,68.2198947368,68.2198947368
9,d1be739798ba0745a1fd72ac918a9f1929hei,f49162ea9903fc00e4721d2f7972df9d6az4s,5b1f6e97a1cc27cd7fa9a3fe17eccd2a6mpdv,0.0,14.0,3.0,1.4,5,12,0,0,0,0,0,0,0,1,0,0,0.00147368421312,0.920481203007,0.00147368421312,9.02957518797
